customer_id,company_id,customer_name,email,ssn,birth_date,phone,role,created_at
CUST00001,COMP00023,Megan Orr,richard04@example.com,409-11-9751,1968-08-26,001-495-377-7387,MANAGER,2023-11-14 00:00:00
CUST00002,COMP00036,Matthew Harvey,cardenaskaren@example.net,146-16-5786,1972-10-05,820.503.7917,MANAGER,2025-09-08 00:00:00
CUST00003,COMP00082,Janet Ross,dianasmith@example.org,989-72-2680,1991-12-14,428.970.8317,OWNER,2021-06-19 00:00:00
CUST00004,COMP00074,Victoria Larson,usalazar@example.net,391-70-8843,1977-07-13,+1-972-577-4348,FINANCIAL,2022-09-01 00:00:00
CUST00005,COMP00044,Billy Mitchell,matthew81@example.org,288-16-5136,1966-03-21,(823)216-6587x6036,FINANCIAL,2022-08-09 00:00:00
CUST00006,COMP00015,Pamela James,benderkenneth@example.com,941-18-7565,1995-01-11,(488)993-7346x70656,FINANCIAL,2024-04-20 00:00:00
CUST00007,COMP00010,Veronica Ferguson,qvargas@example.org,690-90-1878,1963-06-24,(827)620-4653x75564,MANAGER,2024-08-07 00:00:00
CUST00008,COMP00020,Julie Curry,cookemichael@example.net,930-82-5978,1962-11-06,+1-500-933-0923x2719,OWNER,2025-05-02 00:00:00
CUST00009,COMP00032,Pamela Jackson,stricklandfrank@example.com,221-81-7818,1964-06-19,3496663193,IT_MANAGER,2025-02-27 00:00:00
CUST00010,COMP00077,Lindsay Martinez,reedross@example.com,909-89-4697,1962-11-11,+1-650-967-1657x2628,IT_MANAGER,2024-02-20 00:00:00
CUST00011,COMP00049,Roger Vargas,melissa14@example.com,561-66-5871,1970-01-13,699.765.0752x735,IT_MANAGER,2025-04-05 00:00:00
CUST00012,COMP00055,Kyle Beard,blackjames@example.org,412-82-1986,1989-07-23,783.977.7014x3634,IT_MANAGER,2020-12-17 00:00:00
CUST00013,COMP00095,Hailey Barajas,michael74@example.com,201-36-4457,1970-05-06,635-618-2337,OPERATOR,2021-07-13 00:00:00
CUST00014,COMP00085,Dr. Elizabeth Ward,alexis82@example.com,183-30-4929,1961-11-25,9849271094,MANAGER,2024-11-11 00:00:00
