interaction_id,ticket_id,interaction_timestamp,author_type,author_id,author_name,message,interaction_type,channel,attachments
INT00000001,TKT000001,2026-01-04 00:31:22,CUSTOMER,CUST00110,Michael Burns,I have been waiting for 101 minutes to be served. This is unacceptable!,COMMENT,EMAIL,
INT00000002,TKT000001,2026-01-04 23:27:17,AGENT,AGENT020,Matthew Robinson,I sent the instructions by email. Please follow the step-by-step guide.,COMMENT,EMAIL,
INT00000003,TKT000001,2026-01-05 18:11:14,CUSTOMER,CUST00110,Michael Burns,But it has been 3 days since I have had this problem! I need speed!,COMMENT,EMAIL,
INT00000004,TKT000001,2026-01-06 12:57:50,AGENT,AGENT020,Matthew Robinson,I sent the instructions by email. Please follow the step-by-step guide.,COMMENT,EMAIL,
INT00000005,TKT000001,2026-01-06 19:55:53,CUSTOMER,CUST00110,Michael Burns,Understood. I will wait for the response then.,COMMENT,EMAIL,
INT00000006,TKT000001,2026-01-07 05:03:49,AGENT,AGENT020,Matthew Robinson,I understand your frustration. I will check this immediately for you.,COMMENT,EMAIL,
INT00000007,TKT000001,2026-01-08 03:18:46,AGENT,AGENT020,Matthew Robinson,Ticket resolved and closed. Thank you!,STATUS_CHANGE,EMAIL,
INT00000008,TKT000002,2026-01-09 13:48:22,CUSTOMER,CUST00242,Michael Walters,I am very dissatisfied with the service. I have opened 3 tickets and no one has solved my problem.,COMMENT,CHAT,
INT00000009,TKT000002,2026-01-09 16:14:53,AGENT,AGENT016,Brian Jackson,The problem is related to your equipment. I will request a replacement.,COMMENT,CHAT,
INT00000010,TKT000003,2025-11-30 10:14:22,CUSTOMER,CUST00046,Christopher Dixon,The terminal is asking for an update but I cannot do it. How do I proceed?,COMMENT,LIVE_CHAT,
INT00000011,TKT000003,2025-12-01 02:27:21,AGENT,AGENT006,Robert Taylor,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,LIVE_CHAT,
INT00000012,TKT000003,2025-12-01 08:14:31,CUSTOMER,CUST00046,Christopher Dixon,Excellent service! Problem solved.,COMMENT,LIVE_CHAT,
INT00000013,TKT000003,2025-12-01 22:12:25,AGENT,AGENT006,Robert Taylor,Your request has been completed successfully. Is there anything else I can help you with?,COMMENT,LIVE_CHAT,
INT00000014,TKT000003,2025-12-02 09:58:31,CUSTOMER,CUST00046,Christopher Dixon,But it has been 3 days since I have had this problem! I need speed!,COMMENT,LIVE_CHAT,
INT00000015,TKT000003,2025-12-03 05:08:32,AGENT,AGENT006,Robert Taylor,I was able to identify the problem. I will forward it to the technical team.,COMMENT,LIVE_CHAT,
INT00000016,TKT000003,2025-12-03 14:39:55,CUSTOMER,CUST00046,Christopher Dixon,How long will it take? I am losing sales!,COMMENT,LIVE_CHAT,
INT00000017,TKT000003,2025-12-06 14:31:10,AGENT,AGENT006,Robert Taylor,Ticket resolved and closed. Thank you!,STATUS_CHANGE,LIVE_CHAT,
INT00000018,TKT000004,2025-10-10 17:29:22,CUSTOMER,CUST00149,Charles Franklin,The system has been down since 17am and I am losing sales. I need an urgent solution!,COMMENT,PHONE,
INT00000019,TKT000004,2025-10-11 07:25:04,AGENT,AGENT010,Daniel Garcia,I understand your frustration. I will check this immediately for you.,COMMENT,PHONE,
INT00000020,TKT000004,2025-10-11 15:33:38,CUSTOMER,CUST00149,Charles Franklin,You can cancel. I already solved it another way.,COMMENT,PHONE,
INT00000021,TKT000004,2025-10-11 20:24:20,AGENT,AGENT010,Daniel Garcia,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,PHONE,
INT00000022,TKT000005,2025-10-26 07:38:22,CUSTOMER,CUST00099,Ryan Peterson,The terminal is asking for an update but I cannot do it. How do I proceed?,COMMENT,PORTAL,
INT00000023,TKT000005,2025-10-26 21:12:24,AGENT,AGENT006,Robert Taylor,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,PORTAL,
INT00000024,TKT000005,2025-10-27 16:07:06,CUSTOMER,CUST00099,Ryan Peterson,You can cancel. I already solved it another way.,COMMENT,PORTAL,
INT00000025,TKT000005,2025-10-28 04:05:59,AGENT,AGENT006,Robert Taylor,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,PORTAL,
INT00000026,TKT000005,2025-10-29 00:16:21,CUSTOMER,CUST00099,Ryan Peterson,You can cancel. I already solved it another way.,COMMENT,PORTAL,
INT00000027,TKT000006,2025-10-21 01:28:22,CUSTOMER,CUST00208,Michael Freeman,"I am experiencing connection problems with the terminal. It shows ""Communication failure"" error every time I try to process a payment.",COMMENT,CHAT,
