customer_id,company_id,customer_name,email,cpf,birth_date,phone,role,created_at
CUST00001,COMP00085,Srta. Isabela Castro,juliaalves@example.org,601.986.252-67,1990-03-27,(071) 6342 1607,IT_MANAGER,2022-06-13 00:00:00
CUST00002,COMP00062,Guilherme Marques,ana-laura33@example.org,453.440.665-79,1987-02-05,71 5414 5868,FINANCIAL,2022-03-15 00:00:00
CUST00003,COMP00059,Sr. Danilo da Luz,viniciusandrade@example.org,429.990.293-99,1984-06-30,(084) 5698 1693,MANAGER,2024-08-04 00:00:00
CUST00004,COMP00074,Augusto Santos,habreu@example.net,492.339.976-62,1988-03-13,+55 (081) 5615-9514,OWNER,2024-04-29 00:00:00
CUST00005,COMP00041,Luana Rios,zduarte@example.net,862.584.822-58,1972-02-27,+55 81 3662 9946,FINANCIAL,2022-02-24 00:00:00
CUST00006,COMP00085,Agatha da Rosa,otto69@example.net,911.940.767-29,1986-11-17,(061) 7738-7214,FINANCIAL,2022-06-13 00:00:00
CUST00007,COMP00005,Lívia Borges,ana-luizacamara@example.org,229.614.704-52,1966-01-28,+55 (061) 3791 7693,OWNER,2023-06-24 00:00:00
CUST00008,COMP00057,Dra. Maria Isis Monteiro,jda-cruz@example.net,202.638.567-11,1988-03-24,+55 51 6328 7083,MANAGER,2025-04-09 00:00:00
CUST00009,COMP00053,Rafael Carvalho,hrios@example.net,991.770.258-19,1984-06-13,(031) 9868-7277,FINANCIAL,2023-05-19 00:00:00
CUST00010,COMP00034,Josué Porto,raquel73@example.com,446.738.809-60,1978-01-26,(011) 3455 8122,OWNER,2021-07-11 00:00:00
CUST00011,COMP00043,Matheus Sales,pauloazevedo@example.com,972.790.979-78,1976-09-30,71 7603-6690,FINANCIAL,2024-10-12 00:00:00
CUST00012,COMP00041,Maria Helena Mendes,fogacaana-cecilia@example.com,741.835.877-72,1995-01-11,84 8893 7346,IT_MANAGER,2022-02-24 00:00:00
CUST00013,COMP00005,Ana Gomes,jade27@example.org,732.170.340-90,2000-03-31,61 0699-0162,OPERATOR,2023-06-24 00:00:00
CUST00014,COMP00030,Emilly Aragão,gabrielly53@example.com,864.192.544-22,1973-06-08,41 4641 7080,OWNER,2024-02-02 00:00:00
CUST00015,COMP00057,Sr. Bernardo Vasconcelos,sabento@example.org,270.810.406-13,1968-03-17,+55 (031) 9232 7193,OWNER,2025-04-09 00:00:00
CUST00016,COMP00042,Jade Vargas,lucas-gabriel99@example.net,915.157.400-55,1989-06-28,+55 (031) 4190-4966,OPERATOR,2024-08-11 00:00:00
CUST00017,COMP00056,Srta. Ana Vitória Pastor,gustavosampaio@example.com,249.350.643-62,1994-11-24,0300-190-5865,IT_MANAGER,2022-09-21 00:00:00
CUST00018,COMP00088,Thiago Ramos,apollo67@example.org,911.284.274-32,1977-10-23,21 7262 8498,OWNER,2022-01-02 00:00:00
CUST00019,COMP00079,Nina Lopes,ayla31@example.com,991.491.734-97,1996-03-08,+55 51 7996 5075,MANAGER,2023-03-28 00:00:00
