interaction_id,ticket_id,interaction_timestamp,author_type,author_id,author_name,message,interaction_type,channel,attachments
INT00000001,TKT000001,2025-12-01 02:33:54,CUSTOMER,CUST00170,João Felipe Siqueira,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,COMMENT,CHAT,
INT00000002,TKT000001,2025-12-01 14:20:12,CUSTOMER,CUST00170,João Felipe Siqueira,Pode cancelar. Já resolvi de outra forma.,COMMENT,CHAT,
INT00000003,TKT000001,2025-12-02 06:56:14,CUSTOMER,CUST00170,João Felipe Siqueira,Pode cancelar. Já resolvi de outra forma.,COMMENT,CHAT,
INT00000004,TKT000002,2025-10-11 10:36:54,CUSTOMER,CUST00021,Isabella Sales,Fiz uma venda de R$ 2979.16 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,WHATSAPP,
INT00000005,TKT000002,2025-10-11 14:02:42,AGENT,AGENT007,Gabriela Alves,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,WHATSAPP,
INT00000006,TKT000002,2025-10-12 05:01:40,CUSTOMER,CUST00021,Isabella Sales,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,WHATSAPP,
INT00000007,TKT000002,2025-10-12 22:18:38,AGENT,AGENT007,Gabriela Alves,Realizei o estorno solicitado. O valor será creditado em até 2 dias úteis.,COMMENT,WHATSAPP,
INT00000008,TKT000002,2025-10-13 16:25:40,CUSTOMER,CUST00021,Isabella Sales,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,WHATSAPP,
INT00000009,TKT000002,2025-10-14 16:17:31,AGENT,AGENT007,Gabriela Alves,Realizei o estorno solicitado. O valor será creditado em até 2 dias úteis.,COMMENT,WHATSAPP,
INT00000010,TKT000002,2025-10-15 08:52:04,CUSTOMER,CUST00021,Isabella Sales,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,WHATSAPP,
INT00000011,TKT000002,2025-10-13 13:53:42,AGENT,AGENT007,Gabriela Alves,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,WHATSAPP,
INT00000012,TKT000003,2025-12-23 09:52:54,CUSTOMER,CUST00105,Marcela Novais,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,COMMENT,CHAT,
INT00000013,TKT000003,2025-12-23 20:55:29,AGENT,AGENT018,Samuel Dias,Consegui identificar o problema. Vou encaminhar para o time técnico.,COMMENT,CHAT,
INT00000014,TKT000003,2025-12-24 13:16:34,CUSTOMER,CUST00105,Marcela Novais,Pode cancelar. Já resolvi de outra forma.,COMMENT,CHAT,
INT00000015,TKT000003,2025-12-25 11:00:55,AGENT,AGENT018,Samuel Dias,Consegui identificar o problema. Vou encaminhar para o time técnico.,COMMENT,CHAT,
INT00000016,TKT000003,2025-12-25 13:16:51,CUSTOMER,CUST00105,Marcela Novais,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,CHAT,
INT00000017,TKT000003,2025-12-26 01:51:08,AGENT,AGENT018,Samuel Dias,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,CHAT,
INT00000018,TKT000003,2025-12-25 22:33:42,AGENT,AGENT018,Samuel Dias,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,CHAT,
INT00000019,TKT000004,2026-01-11 09:40:54,CUSTOMER,CUST00212,Lucas Gabriel Rezende,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,COMMENT,CHAT,
INT00000020,TKT000004,2026-01-11 21:49:33,CUSTOMER,CUST00212,Lucas Gabriel Rezende,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,CHAT,
INT00000021,TKT000004,2026-01-12 07:05:53,CUSTOMER,CUST00212,Lucas Gabriel Rezende,Mas isso já faz 3 dias que estou com problema! Preciso de agilidade!,COMMENT,CHAT,
INT00000022,TKT000004,2026-01-12 15:32:25,CUSTOMER,CUST00212,Lucas Gabriel Rezende,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,CHAT,
INT00000023,TKT000004,2026-01-13 11:35:09,CUSTOMER,CUST00212,Lucas Gabriel Rezende,Mas isso já faz 3 dias que estou com problema! Preciso de agilidade!,COMMENT,CHAT,
INT00000024,TKT000005,2025-12-08 09:56:54,CUSTOMER,CUST00195,Pietra Costa,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMMENT,WHATSAPP,
INT00000025,TKT000005,2025-12-08 17:28:44,AGENT,AGENT024,Amanda Pinto,Verifiquei seu cadastro e identifiquei a inconsistência. Vou corrigir.,COMMENT,WHATSAPP,
INT00000026,TKT000005,2025-12-09 00:12:02,CUSTOMER,CUST00195,Pietra Costa,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,WHATSAPP,
INT00000027,TKT000005,2025-12-09 18:02:39,AGENT,AGENT024,Amanda Pinto,Sua solicitação foi concluída com sucesso. Há mais algo em que posso ajudar?,COMMENT,WHATSAPP,
INT00000028,TKT000006,2026-01-06 23:56:54,CUSTOMER,CUST00087,Davi Luiz Barbosa,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,COMMENT,EMAIL,
INT00000029,TKT000006,2026-01-07 05:33:31,AGENT,AGENT021,Wagner Teixeira,Verifiquei seu cadastro e identifiquei a inconsistência. Vou corrigir.,COMMENT,EMAIL,
INT00000030,TKT000006,2026-01-08 03:53:34,CUSTOMER,CUST00087,Davi Luiz Barbosa,Pode cancelar. Já resolvi de outra forma.,COMMENT,EMAIL,
INT00000031,TKT000006,2026-01-08 23:47:50,AGENT,AGENT021,Wagner Teixeira,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,EMAIL,
INT00000032,TKT000006,2026-01-09 22:16:46,CUSTOMER,CUST00087,Davi Luiz Barbosa,Excelente atendimento! Problema resolvido.,COMMENT,EMAIL,
INT00000033,TKT000006,2026-01-10 16:12:30,AGENT,AGENT021,Wagner Teixeira,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,EMAIL,
INT00000034,TKT000007,2026-01-10 13:27:54,CUSTOMER,CUST00119,Daniel Andrade,Foi realizado um estorno de R$ 2578.09 na minha conta sem autorização. Preciso entender o motivo e reverter.,COMMENT,EMAIL,
INT00000035,TKT000007,2026-01-11 01:26:21,AGENT,AGENT022,Yasmin Cardoso,Essa solicitação precisa ser aprovada pelo gestor. Aguarde retorno em até 24h.,COMMENT,EMAIL,
INT00000036,TKT000007,2026-01-11 02:04:39,CUSTOMER,CUST00119,Daniel Andrade,Entendi. Vou aguardar o retorno então.,COMMENT,EMAIL,
INT00000037,TKT000007,2026-01-11 10:17:55,AGENT,AGENT022,Yasmin Cardoso,Essa solicitação precisa ser aprovada pelo gestor. Aguarde retorno em até 24h.,COMMENT,EMAIL,
INT00000038,TKT000007,2026-01-11 13:19:01,CUSTOMER,CUST00119,Daniel Andrade,Isso não resolve meu problema. Quero falar com um supervisor.,COMMENT,EMAIL,
INT00000039,TKT000007,2026-01-12 10:44:11,AGENT,AGENT022,Yasmin Cardoso,Consegui identificar o problema. Vou encaminhar para o time técnico.,COMMENT,EMAIL,
INT00000040,TKT000007,2026-01-12 20:41:06,CUSTOMER,CUST00119,Daniel Andrade,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,EMAIL,
INT00000041,TKT000007,2026-01-12 23:34:00,AGENT,AGENT022,Yasmin Cardoso,O problema está relacionado ao seu equipamento. Vou solicitar a troca.,COMMENT,EMAIL,
INT00000042,TKT000008,2026-01-12 18:10:54,CUSTOMER,CUST00007,Lívia Borges,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMMENT,PHONE,
INT00000043,TKT000008,2026-01-12 20:40:23,CUSTOMER,CUST00007,Lívia Borges,Pode cancelar. Já resolvi de outra forma.,COMMENT,PHONE,
INT00000044,TKT000008,2026-01-13 18:17:17,CUSTOMER,CUST00007,Lívia Borges,Quanto tempo vai demorar? Estou perdendo vendas!,COMMENT,PHONE,
INT00000045,TKT000009,2026-01-02 21:54:54,CUSTOMER,CUST00077,Henrique Cassiano,Realizei vendas no dia 30/12/2025 no valor de R$ 3039.58 e o valor não foi creditado na minha conta.,COMMENT,CHAT,
INT00000046,TKT000009,2026-01-03 19:52:23,AGENT,AGENT013,Mariana Gomes,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,CHAT,
INT00000047,TKT000010,2026-01-09 05:03:54,CUSTOMER,CUST00017,Srta. Ana Vitória Pastor,Estou muito insatisfeito com o atendimento. Já abri 5 chamados e ninguém resolve meu problema.,COMMENT,WHATSAPP,
INT00000048,TKT000010,2026-01-09 23:38:49,CUSTOMER,CUST00017,Srta. Ana Vitória Pastor,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,WHATSAPP,
INT00000049,TKT000010,2026-01-10 05:27:36,CUSTOMER,CUST00017,Srta. Ana Vitória Pastor,Quanto tempo vai demorar? Estou perdendo vendas!,COMMENT,WHATSAPP,
INT00000050,TKT000011,2025-12-08 13:30:54,CUSTOMER,CUST00170,João Felipe Siqueira,Estou muito insatisfeito com o atendimento. Já abri 2 chamados e ninguém resolve meu problema.,COMMENT,EMAIL,
INT00000051,TKT000011,2025-12-08 21:02:53,AGENT,AGENT023,Zeca Monteiro,"Enviei as instruções por email. Por favor, siga o passo a passo.",COMMENT,EMAIL,
INT00000052,TKT000011,2025-12-09 18:30:53,CUSTOMER,CUST00170,João Felipe Siqueira,Pode cancelar. Já resolvi de outra forma.,COMMENT,EMAIL,
INT00000053,TKT000011,2025-12-10 14:05:09,AGENT,AGENT023,Zeca Monteiro,Entendo sua frustração. Vou verificar isso imediatamente para você.,COMMENT,EMAIL,
INT00000054,TKT000012,2025-10-04 22:45:54,CUSTOMER,CUST00144,Luiz Miguel Sampaio,A maquininha de cartão modelo X900 não está ligando. Tentei carregar a bateria mas não funciona.,COMMENT,WHATSAPP,
INT00000055,TKT000012,2025-10-05 14:41:15,AGENT,AGENT001,Ana Silva,O problema está relacionado ao seu equipamento. Vou solicitar a troca.,COMMENT,WHATSAPP,
INT00000056,TKT000012,2025-10-05 18:59:26,CUSTOMER,CUST00144,Luiz Miguel Sampaio,Isso não resolve meu problema. Quero falar com um supervisor.,COMMENT,WHATSAPP,
